company,year,production_mt,source,gem_capacity_mt,n_plants,bf_bof_capacity_mt,eaf_capacity_mt,scope1_mt,scope2_mt,total_emissions_mt,utilization_rate,reported_intensity,apa_emissions_mt,reported_s1_mt,diff_mt,diff_pct
ArcelorMittal,2023,68.9,Annual Report 2023,119.3,37.0,96.9,11.7,105.0,12.5,117.5,0.5775356244761107,1.7053701015965166,106.6,105.0,1.5999999999999943,1.5
Nippon Steel,2023,44.3,Integrated Report 2024,60.7,11.0,54.6,3.3,87.0,5.0,92.0,0.729818780889621,2.0767494356659144,85.5,87.0,-1.5,-1.7
POSCO,2023,40.6,Annual Report 2023,45.5,5.0,43.4,2.1,73.0,5.5,78.5,0.8923076923076924,1.9334975369458127,76.2,73.0,3.200000000000003,4.4
Tata Steel,2023,29.9,Integrated Report FY2024,36.0,12.0,34.2,1.9,65.0,8.5,73.5,0.8305555555555555,2.4581939799331103,87.4,65.0,22.400000000000006,34.5
JSW Steel,2023,24.1,Annual Report FY2024,31.3,10.0,28.3,1.5,58.0,7.0,65.0,0.7699680511182109,2.697095435684647,71.2,58.0,13.200000000000003,22.8
JFE Holdings,2023,26.0,Annual Report 2024,43.7,10.0,39.1,4.7,52.0,4.0,56.0,0.5949656750572082,2.1538461538461537,48.1,52.0,-3.8999999999999986,-7.5
Nucor,2023,21.5,10-K 2023,25.6,19.0,0.0,25.6,9.5,6.0,15.5,0.83984375,0.7209302325581395,8.6,9.5,-0.9000000000000004,-9.5
Hyundai Steel,2023,21.0,Annual Report 2023,24.6,3.0,16.6,8.0,28.0,5.0,33.0,0.8536585365853658,1.5714285714285714,30.8,28.0,2.8000000000000007,10.0
China Steel,2023,17.2,Annual Report 2023,,,,,28.0,4.0,32.0,,1.8604651162790695,35.5,28.0,7.5,26.8
Cleveland-Cliffs,2023,16.4,10-K 2023,26.8,11.0,22.4,3.4,28.0,5.0,33.0,0.6119402985074626,2.0121951219512195,26.8,28.0,-1.1999999999999993,-4.3
US Steel,2023,14.8,10-K 2023,22.9,6.0,18.0,4.9,22.0,4.5,26.5,0.646288209606987,1.7905405405405403,20.9,22.0,-1.1000000000000014,-5.0
Gerdau,2023,12.5,Annual Report 2023,17.2,16.0,5.1,12.1,11.0,2.0,13.0,0.7267441860465117,1.04,11.8,11.0,0.8000000000000007,7.3
Severstal,2023,11.1,Press Release 2023,12.0,1.0,12.0,0.0,19.0,2.5,21.5,0.925,1.936936936936937,22.4,19.0,3.3999999999999986,17.9
ThyssenKrupp,2023,10.6,Annual Report 2022/23,20.4,3.0,19.0,1.4,21.5,3.5,25.0,0.5196078431372549,2.358490566037736,19.1,21.5,-2.3999999999999986,-11.2
SSAB,2023,7.8,Annual Report 2023,9.9,6.0,6.4,3.5,10.5,1.5,12.0,0.7878787878787878,1.5384615384615383,10.8,10.5,0.3000000000000007,2.9
Kobe Steel,2023,6.8,Annual Report 2024,7.2,2.0,7.2,0.0,12.5,1.5,14.0,0.9444444444444444,2.058823529411765,12.0,12.5,-0.5,-4.0
voestalpine,2023,6.5,Annual Report 2022/23,7.6,3.0,7.6,0.0,11.5,2.0,13.5,0.8552631578947368,2.076923076923077,10.1,11.5,-1.4000000000000004,-12.2
BlueScope,2023,5.5,Annual Report 2023,6.9,4.0,3.2,3.0,7.5,1.0,8.5,0.7971014492753623,1.5454545454545454,9.7,7.5,2.1999999999999993,29.3
Baosteel,2023,131.8,WSA Top Producers 2023,104.7,17.0,98.7,1.0,,,0.0,1.25883476599809,0.0,290.6,,,
Ansteel,2023,55.9,WSA Top Producers 2023,61.9,15.0,57.4,4.5,,,0.0,0.9030694668820678,0.0,123.3,,,
HBIS,2023,43.2,WSA Top Producers 2023,38.9,10.0,31.9,2.0,,,0.0,1.1105398457583548,0.0,95.3,,,
Shagang,2023,44.5,WSA Top Producers 2023,34.1,5.0,33.0,1.1,,,0.0,1.3049853372434017,0.0,93.9,,,
Shougang,2023,33.4,WSA Top Producers 2023,33.9,6.0,33.4,0.5,,,0.0,0.9852507374631267,0.0,73.6,,,
Jianlong,2023,36.1,WSA Top Producers 2023,33.6,15.0,31.1,0.0,,,0.0,1.074404761904762,0.0,79.6,,,
Shandong Steel,2023,31.6,WSA Top Producers 2023,26.2,5.0,26.2,0.0,,,0.0,1.2061068702290076,0.0,69.7,,,
SAIL,2023,18.3,Annual Report FY2024,21.1,8.0,20.6,0.5,48.0,6.0,54.0,0.8672985781990521,2.9508196721311473,53.1,48.0,5.100000000000001,10.6
Jindal Steel,2023,9.0,Annual Report FY2024,,,,,22.0,3.0,25.0,,2.7777777777777777,27.1,22.0,5.100000000000001,23.2
Steel Dynamics,2023,12.0,10-K 2023,12.5,6.0,0.0,12.5,5.0,3.5,8.5,0.96,0.7083333333333334,4.8,5.0,-0.20000000000000018,-4.0
NLMK,2023,14.8,Press Release 2023,17.7,4.0,13.2,4.5,25.0,3.5,28.5,0.8361581920903955,1.9256756756756757,28.6,25.0,3.6000000000000014,14.4
Evraz,2023,11.5,Annual Report 2023,16.2,4.0,14.0,2.2,22.0,3.0,25.0,0.7098765432098766,2.1739130434782608,22.2,22.0,0.1999999999999993,0.9
Ternium,2023,12.8,Annual Report 2023,12.7,5.0,8.4,0.6,18.0,3.0,21.0,1.0078740157480317,1.640625,23.0,18.0,5.0,27.8
Salzgitter,2023,6.2,Annual Report 2023,12.2,3.0,11.2,1.0,12.0,2.0,14.0,0.5081967213114754,2.258064516129032,10.7,12.0,-1.3000000000000007,-10.8
