company,country,ca100_focus
ArcelorMittal,Luxembourg,Yes
Baoshan Iron & Steel,China,Yes
BlueScope Steel,Australia,No
China Steel,Taiwan,No
Cleveland-Cliffs,United States,No
Evraz,Russia,No
Gerdau,Brazil,No
Hyundai Steel,South Korea,No
JFE Holdings,Japan,No
JSW Steel,India,No
Kobe Steel,Japan,No
Liberty Steel,United Kingdom,No
NLMK,Russia,No
Nippon Steel,Japan,Yes
Nucor,United States,No
POSCO Holdings,South Korea,Yes
SAIL,India,No
SSAB,Sweden,No
Salzgitter,Germany,No
Severstal,Russia,No
Steel Dynamics,United States,No
Tata Steel,India,Yes
Ternium,Argentina,No
ThyssenKrupp,Germany,Yes
US Steel,United States,No
voestalpine,Austria,No
